"spkid","H","diameter","albedo","rot_per","GM","BV","UB","IR","epoch","epoch_mjd","e","a","q","i","om","w","ma","ad","tp","per"
3645650,24.00,,,,,,,,2460600.5,60600,0.0965,1.227,1.108,10.21,320.44,0.00,83.12,1.35,2460485.92,496
3645651,26.00,,,,,,,,2460600.5,60600,0.1105,1.138,1.012,7.74,143.69,232.54,31.56,1.26,2460561.65,443
3645652,21.30,,,,,,,,2460600.5,60600,0.5328,2.581,1.206,11.27,151.81,185.43,245.05,3.96,2461084.08,1.51e+03
3645653,24.20,,,,,,,,2456517.5,56517,0.4778,2.189,1.143,3.19,135.04,195.67,357.20,3.24,2456526.71,1.18e+03
3645726,24.10,,,,,,,,2456519.5,56519,0.5957,2.437,0.985,4.28,157.02,220.77,347.88,3.89,2456566.27,1.39e+03
3645791,20.69,,,,,,,,2460600.5,60600,0.5328,1.32,0.617,5.86,273.27,180.97,69.05,2.02,2460494.27,554
3645793,21.50,,,,,,,,2460600.5,60600,0.4257,2.19,1.258,9.66,331.77,341.19,165.12,3.12,2460057.45,1.18e+03
3645792,23.40,,,,,,,,2460600.5,60600,0.3990,1.663,0.999,2.53,321.63,334.84,86.48,2.33,2460412.32,783
3646050,20.07,,,,,,,,2460600.5,60600,0.2970,1.768,1.243,35.20,144.89,274.63,207.39,2.29,2460964.47,859
3647994,22.30,,,,,,,,2460600.5,60600,0.4447,2.283,1.268,4.66,320.70,40.39,74.06,3.30,2460341.28,1.26e+03
3645993,21.60,,,0.094,,,,,2460600.5,60600,0.7369,1.95,0.513,45.64,151.51,279.37,16.04,3.39,2460556.18,994
3646046,21.16,,,,,,,,2460600.5,60600,0.2495,1.184,0.889,35.24,149.13,55.25,330.09,1.48,2460639.60,471
3646047,22.00,,,,,,,,2460600.5,60600,0.2738,1.035,0.752,17.61,324.85,218.38,337.51,1.32,2460624.53,385
3646795,20.01,,,,,,,,2460600.5,60600,0.3652,1.732,1.099,19.26,151.91,270.13,268.93,2.36,2460811.10,832
3646157,22.80,,,,,,,,2460600.5,60600,0.4670,2.183,1.164,11.50,155.75,169.33,165.38,3.20,2460059.28,1.18e+03
3646598,18.44,,,,,,,,2460600.5,60600,0.5988,2.997,1.203,9.42,98.74,148.29,78.44,4.79,2460187.50,1.9e+03
3646650,22.74,,,,,,,,2460600.5,60600,0.1866,1.251,1.018,16.63,341.35,89.30,273.08,1.48,2460723.89,511
3646649,24.49,,,,,,,,2460600.5,60600,0.1651,1.189,0.993,5.57,333.45,75.76,154.96,1.39,2460396.64,474
3646648,22.20,,,,,,,,2460600.5,60600,0.5123,0.9617,0.469,6.04,177.40,24.32,15.10,1.45,2460586.05,344
3646733,24.50,,,,,,,,2456533.5,56533,0.5205,2.219,1.064,9.16,155.91,163.93,4.32,3.37,2456519.00,1.21e+03
3646734,21.58,,,,,,,,2460600.5,60600,0.6191,1.511,0.575,2.15,250.45,332.77,34.74,2.45,2460535.06,678
3646732,25.70,,,,,,,,2460600.5,60600,0.5036,2.101,1.043,0.34,206.28,109.42,240.92,3.16,2460968.55,1.11e+03
3646735,26.40,,,,,,,,2460600.5,60600,0.2395,1.293,0.983,5.86,335.02,309.65,237.96,1.60,2460782.50,537
3646736,24.60,,,,,,,,2460600.5,60600,0.2361,1.193,0.912,23.10,334.30,287.77,243.56,1.48,2460754.53,476
3646737,26.20,,,,,,,,2460600.5,60600,0.3247,1.473,0.995,7.17,156.50,148.97,97.44,1.95,2460423.79,653
3646738,19.66,,,,,,,,2460600.5,60600,0.7652,1.969,0.462,15.10,176.98,37.78,33.88,3.48,2460505.53,1.01e+03
3646758,22.90,,,,,,,,2460600.5,60600,0.4590,1.504,0.814,7.78,4.20,64.30,334.62,2.19,2460647.99,674
3646797,26.50,,,,,,,,2460600.5,60600,0.3015,1.464,1.022,2.96,338.05,17.61,93.26,1.91,2460432.95,647
3646854,20.36,,,,,,,,2460600.5,60600,0.3547,1.857,1.198,9.23,117.12,283.49,113.92,2.52,2460307.92,925
3646853,23.40,,,,,,,,2456534.5,56534,0.3467,1.514,0.989,13.55,151.17,255.91,321.06,2.04,2456608.08,680
3646855,24.10,,,,,,,,2460600.5,60600,0.2552,1.463,1.090,12.56,334.02,7.90,100.79,1.84,2460419.55,646
3646914,22.60,,,,,,,,2460600.5,60600,0.4069,1.819,1.079,9.83,341.31,351.84,195.29,2.56,2461010.53,896
3647007,19.04,,,,,,,,2460600.5,60600,0.5301,2.505,1.177,6.53,139.90,284.29,259.25,3.83,2461005.80,1.45e+03
3647008,21.91,,,,,,,,2460600.5,60600,0.4523,2.329,1.276,5.06,99.90,225.58,52.42,3.38,2460411.44,1.3e+03
3647009,27.40,,,,,,,,2460600.5,60600,0.2219,1.149,0.894,7.42,330.67,290.56,63.44,1.40,2460521.18,450
3647011,22.10,,,,,,,,2460600.5,60600,0.4675,2.304,1.227,5.10,359.90,299.05,78.24,3.38,2460322.80,1.28e+03
3647022,26.50,,,,,,,,2456536.5,56536,0.4296,1.679,0.957,4.98,157.77,131.59,19.05,2.40,2456494.46,794
3647013,27.80,,,,,,,,2460600.5,60600,0.2851,1.156,0.827,1.51,150.64,101.90,34.26,1.49,2460557.28,454
3647270,24.74,,,,,,,,2456533.5,56533,0.2268,1.355,1.048,24.70,154.68,222.69,332.72,1.66,2456577.15,576
3646913,24.00,,,,,,,,2460600.5,60600,0.5722,2.564,1.097,3.41,161.66,178.36,252.66,4.03,2461047.69,1.5e+03
3646912,23.00,,,,,,,,2460600.5,60600,0.6415,1.833,0.657,11.99,154.83,275.89,151.78,3.01,2460218.41,906
3646915,29.40,,,,,,,,2460600.5,60600,0.6050,1.819,0.719,0.99,335.94,81.33,172.52,2.92,2460170.98,896
3647016,24.80,,,,,,,,2460600.5,60600,0.3609,0.7573,0.484,10.08,339.59,176.02,140.80,1.03,2460506.34,241
3647014,26.00,,,,,,,,2456537.5,56537,0.7423,2.071,0.534,0.65,337.36,102.93,343.08,3.61,2456588.69,1.09e+03
3647012,22.10,,,,,,,,2460600.5,60600,0.5593,2.668,1.176,6.94,355.53,42.88,184.85,4.16,2461374.85,1.59e+03
3647015,24.60,,,,,,,,2460600.5,60600,0.4521,2.044,1.120,9.44,342.03,357.27,290.37,2.97,2460807.00,1.07e+03
3647019,20.45,,,,,,,,2460600.5,60600,0.4863,1.242,0.638,43.90,168.45,334.48,253.44,1.85,2460750.14,506
3647017,22.80,,,,,,,,2456537.5,56537,0.1974,1.419,1.139,26.87,160.47,131.58,33.64,1.70,2456479.81,617
3647018,22.40,,,,,,,,2456538.5,56538,0.5621,1.809,0.792,11.36,154.05,95.61,31.01,2.83,2456461.92,889
3647020,23.20,,,,,,,,2460600.5,60600,0.5523,2.419,1.083,6.29,166.17,206.32,336.02,3.75,2460692.03,1.37e+03
3647021,28.40,,,,,,,,2460600.5,60600,0.5939,1.574,0.639,0.17,229.80,200.89,201.54,2.51,2460917.92,721
3647026,25.00,,,,,,,,2456542.5,56542,0.6450,3.096,1.099,3.74,168.27,189.70,357.74,5.09,2456555.01,1.99e+03
3647024,21.70,,,,,,,,2460600.5,60600,0.0202,1.235,1.211,24.19,343.36,99.55,298.97,1.26,2460685.53,502
3647025,25.50,,,,,,,,2456538.5,56538,0.3385,1.468,0.971,18.21,161.03,229.16,335.41,1.96,2456582.87,650
3647023,24.80,,,,,,,,2460600.5,60600,0.2053,0.9145,0.727,17.17,338.62,176.89,94.39,1.10,2460516.74,319
3647027,21.54,,,,,,,,2460600.5,60600,0.2001,1.06,0.848,10.43,192.34,344.95,231.89,1.27,2460742.42,399
3647189,23.90,,,,,,,,2456544.5,56544,0.4660,1.559,0.832,3.50,324.63,105.91,323.84,2.29,2456615.92,711
3647196,23.50,,,,,,,,2456538.5,56538,0.3481,1.086,0.708,7.45,169.72,36.48,99.16,1.46,2456424.61,413
3647190,24.90,,,,,,,,2456540.5,56540,0.5863,2.432,1.006,1.61,183.60,126.65,7.06,3.86,2456513.35,1.39e+03
3647192,23.50,,,,,,,,2460600.5,60600,0.3247,1.638,1.106,12.74,331.64,7.67,110.48,2.17,2460365.54,766
3647191,26.50,,,,,,,,2460600.5,60600,0.0849,1.14,1.043,9.02,161.24,182.98,47.03,1.24,2460542.45,444
3647193,23.90,,,,,,,,2460600.5,60600,0.5841,2.491,1.036,4.14,323.11,67.54,287.28,3.95,2460890.64,1.44e+03
3647194,23.57,,,,,,,,2460600.5,60600,0.2001,1.167,0.934,3.51,332.60,108.87,221.62,1.40,2460777.61,461
3647195,21.60,,,,,,,,2456540.5,56540,0.4277,1.715,0.981,16.26,170.08,77.62,49.68,2.45,2456427.32,820
3647197,18.84,,,,,,,,2460600.5,60600,0.5345,2.4,1.117,27.25,262.58,62.83,356.91,3.68,2460612.17,1.36e+03
3647272,21.10,,,,,,,,2460600.5,60600,0.5553,1.652,0.735,28.97,160.42,308.08,25.73,2.57,2460545.04,776
3647273,20.05,,,,,,,,2460600.5,60600,0.5138,1.187,0.577,21.80,153.76,22.88,10.14,1.80,2460587.20,472
3647274,18.36,,,,,,,,2460600.5,60600,0.7360,3.169,0.836,29.71,165.91,67.35,16.01,5.50,2460508.89,2.06e+03
3647271,19.70,,,,,,,,2460600.5,60600,0.5049,2.55,1.262,6.08,293.13,56.96,265.20,3.84,2460992.07,1.49e+03
3647275,20.51,,,,,,,,2460600.5,60600,0.6713,1.407,0.463,40.82,343.49,146.37,168.53,2.35,2460315.02,610
3647280,20.70,,,,,,,,2456540.5,56540,0.3565,1.994,1.283,25.88,167.77,108.51,35.74,2.71,2456438.38,1.03e+03
3647281,24.50,,,,,,,,2460600.5,60600,0.4198,1.803,1.046,6.00,170.58,159.88,217.13,2.56,2460951.48,884
3647277,23.70,,,,,,,,2460600.5,60600,0.4331,2.028,1.150,4.73,209.55,156.99,297.38,2.91,2460784.01,1.05e+03
3647278,23.60,,,,,,,,2456542.5,56542,0.1828,1.291,1.055,26.87,168.55,233.10,319.11,1.53,2456603.33,536
3647279,21.70,,,,,,,,2460600.5,60600,0.5596,2.425,1.068,4.89,158.57,138.97,354.48,3.78,2460621.64,1.38e+03
3647276,25.10,,,,,,,,2456565.5,56565,0.5306,2.241,1.052,1.69,342.53,17.90,3.08,3.43,2456555.02,1.23e+03
3647569,26.20,,,,,,,,2460600.5,60600,0.4554,1.836,1.000,13.10,339.74,339.64,173.27,2.67,2460163.03,909
3647570,23.90,,,,,,,,2460600.5,60600,0.6046,2.745,1.085,4.26,152.41,179.20,160.09,4.41,2459861.67,1.66e+03
3647647,22.00,,,,,,,,2460600.5,60600,0.2545,1.669,1.245,11.43,174.32,237.06,9.93,2.09,2460578.78,788
3647671,28.40,,,,,,,,2460600.5,60600,0.4875,1.919,0.984,8.35,162.22,156.84,71.90,2.85,2460406.56,971
3647695,22.10,,,,,,,,2460600.5,60600,0.6306,2.48,0.916,3.00,46.65,2.60,293.24,4.04,2460865.09,1.43e+03
3647698,24.60,,,,,,,,2460600.5,60600,0.5923,2.481,1.012,7.82,339.00,346.52,306.43,3.95,2460812.94,1.43e+03
3647697,28.70,,,,,,,,2456539.5,56539,0.6461,1.594,0.564,6.68,162.50,277.45,334.39,2.62,2456591.80,735
3647735,24.20,,,,,,,,2456544.5,56544,0.3527,1.033,0.669,45.18,166.90,298.90,278.35,1.40,2456631.45,383
3647845,19.91,,,,,,,,2456541.5,56541,0.5938,1.939,0.788,14.58,266.15,326.69,23.54,3.09,2456476.99,986
3647848,21.30,,,,,,,,2460600.5,60600,0.3681,1.776,1.122,43.44,170.58,251.77,214.72,2.43,2460949.46,865
3647847,22.10,,,,,,,,2460600.5,60600,0.2679,1.749,1.280,6.00,4.38,14.32,273.24,2.22,2460804.09,845
3647962,20.46,,,,,,,,2460600.5,60600,0.1662,1.552,1.294,24.42,167.60,274.07,198.32,1.81,2460917.59,706
3647996,22.30,,,,,,,,2460600.5,60600,0.4485,2.099,1.158,4.25,216.10,103.92,242.66,3.04,2460962.59,1.11e+03
3647999,21.80,,,,,,,,2460600.5,60600,0.4553,2.267,1.235,11.06,175.55,156.06,96.80,3.30,2460265.33,1.25e+03
3647995,23.30,,,,,,,,2456546.5,56546,0.7997,1.728,0.346,4.21,186.69,289.07,335.72,3.11,2456602.47,830
3647997,20.05,,,32.6,,,,,2460600.5,60600,0.5835,2.119,0.883,14.34,31.97,67.99,184.42,3.36,2461150.11,1.13e+03
3648004,24.50,,,,,,,,2456549.5,56549,0.2065,1.343,1.066,11.81,168.43,219.85,335.73,1.62,2456587.83,568
3648000,24.03,,,,,,,,2460600.5,60600,0.2347,1.436,1.099,13.49,167.86,192.26,153.62,1.77,2460332.33,628
3648001,25.54,,,,,,,,2456549.5,56549,0.6394,1.759,0.634,2.01,165.22,93.17,23.36,2.88,2456494.21,852
3648002,27.02,,,,,,,,2460600.5,60600,0.3344,1.459,0.971,0.94,359.07,24.57,92.94,1.95,2460434.29,644
3648003,24.30,,,,,,,,2460600.5,60600,0.5606,2.322,1.020,1.31,130.61,226.77,47.09,3.62,2460431.42,1.29e+03
3648046,31.10,,,,,,,,2460600.5,60600,0.0283,1.016,0.988,2.11,343.45,64.69,254.51,1.05,2460710.18,374
3648090,26.80,,,,,,,,2460600.5,60600,0.4865,1.79,0.919,5.24,351.18,46.00,211.62,2.66,2460961.17,875
3648093,27.30,,,,,,,,2456549.5,56549,0.6708,2.631,0.866,5.14,347.73,309.80,8.96,4.40,2456510.72,1.56e+03
3648091,24.70,,,,,,,,2460600.5,60600,0.5694,2.338,1.007,4.55,349.44,19.91,32.98,3.67,2460480.92,1.31e+03
3648092,24.60,,,,,,,,2460600.5,60600,0.3215,1.546,1.049,6.24,173.04,199.53,268.14,2.04,2460779.64,702
3648094,25.40,,,,,,,,2456551.5,56551,0.4530,1.136,0.621,8.17,352.70,251.56,55.42,1.65,2456483.45,442
3648201,20.60,,,,,,,,2460600.5,60600,0.5866,2.472,1.022,21.67,339.21,310.92,321.66,3.92,2460751.64,1.42e+03
3648202,25.00,,,,,,,,2460600.5,60600,0.2282,1.365,1.053,3.66,170.49,216.70,319.52,1.68,2460665.99,582
3648203,21.00,,,,,,,,2460600.5,60600,0.5341,1.368,0.638,25.13,355.54,262.33,13.45,2.10,2460578.65,585
3648204,22.10,,,,,,,,2460600.5,60600,0.5251,2.404,1.142,3.53,128.74,256.98,343.43,3.67,2460663.18,1.36e+03
3648208,24.26,,,,,,,,2456549.5,56549,0.3413,1.702,1.121,7.28,159.32,192.56,1.64,2.28,2456545.80,811
3648209,21.18,,,,,,,,2460600.5,60600,0.2909,1.717,1.218,34.03,9.85,277.62,16.70,2.22,2460562.37,822
3648207,26.10,,,,,,,,2456551.5,56551,0.5959,2.424,0.979,9.05,176.45,204.91,354.07,3.87,2456574.19,1.38e+03
3648206,23.35,,,,,,,,2460600.5,60600,0.7016,0.6931,0.207,6.47,359.31,157.65,318.83,1.18,2460624.60,211
3648205,20.90,,,5.346,,,,,2460600.5,60600,0.5942,2.284,0.927,5.48,200.43,227.76,56.45,3.64,2460402.84,1.26e+03
3648317,19.10,,,,,,,,2460600.5,60600,0.7207,2.819,0.787,22.50,348.13,124.48,99.22,4.85,2460124.05,1.73e+03
3648367,25.80,,,,,,,,2460600.5,60600,0.4206,1.772,1.027,6.37,348.02,351.70,256.93,2.52,2460847.22,862
3648412,19.28,,,,,,,,2460600.5,60600,0.6152,2.27,0.873,14.60,250.42,163.18,73.76,3.67,2460344.63,1.25e+03
3648467,24.10,,,0.1305,,,,,2460600.5,60600,0.3162,1.506,1.029,7.47,0.10,43.73,333.45,1.98,2460650.27,675
3648468,24.20,,,,,,,,2460600.5,60600,0.4921,2.162,1.098,10.26,357.55,334.52,180.04,3.23,2461180.89,1.16e+03
3648469,24.70,,,,,,,,2460600.5,60600,0.2236,0.8726,0.677,10.84,182.52,24.58,344.26,1.07,2460613.52,298
3648531,18.75,,,,,,,,2460600.5,60600,0.4285,2.248,1.285,26.50,231.32,146.94,100.27,3.21,2460257.54,1.23e+03
3648533,22.50,,,,,,,,2460600.5,60600,0.5580,2.812,1.243,0.81,327.51,55.92,117.21,4.38,2460039.82,1.72e+03
3648534,21.90,,,,,,,,2460600.5,60600,0.4989,2.226,1.115,12.94,0.52,345.22,122.63,3.34,2460187.43,1.21e+03
3648532,29.20,,,,,,,,2460600.5,60600,0.2390,1.285,0.978,2.33,0.77,326.02,234.89,1.59,2460785.38,532
3648536,25.54,,,,,,,,2456558.5,56558,0.5457,2.332,1.060,8.81,181.67,172.94,1.32,3.60,2456553.73,1.3e+03
3648535,26.30,,,,,,,,2456560.5,56560,0.4155,1.151,0.673,14.57,0.71,257.06,55.71,1.63,2456490.70,451
3648543,21.12,,,,,,,,2460600.5,60600,0.5957,1.182,0.478,17.33,185.37,312.57,149.90,1.89,2460405.02,469
3648537,22.70,,,,,,,,2456561.5,56561,0.3468,1.436,0.938,21.14,176.15,243.89,329.22,1.93,2456615.25,629
3648538,24.90,,,,,,,,2460600.5,60600,0.4700,1.92,1.018,7.57,178.44,224.61,40.87,2.82,2460490.16,972
3648541,22.00,,,,,,,,2460600.5,60600,0.5488,2.804,1.265,0.97,347.55,35.01,122.08,4.34,2460018.81,1.72e+03
3648539,27.00,,,,,,,,2456560.5,56560,0.3727,1.515,0.950,5.44,359.52,316.75,20.65,2.08,2456521.44,681
3648540,23.10,,,,,,,,2456566.5,56566,0.3573,1.627,1.046,27.86,1.29,329.51,17.56,2.21,2456529.53,758
3648542,24.83,,,,,,,,2460600.5,60600,0.2238,1.399,1.086,2.73,198.57,140.58,259.69,1.71,2460768.94,604
3648630,21.11,,,,,,,,2460600.5,60600,0.6548,1.533,0.529,5.19,351.10,141.90,245.59,2.54,2460820.76,693
3648631,24.80,,,,,,,,2460600.5,60600,0.0859,1.086,0.992,7.11,181.57,319.94,146.56,1.18,2460432.30,413
3648629,22.44,,,,,,,,2460600.5,60600,0.1152,1.4,1.239,19.45,180.48,116.21,295.07,1.56,2460709.69,605
3648632,23.89,,,,,,,,2460600.5,60600,0.2683,1.156,0.846,20.27,180.15,270.03,264.10,1.47,2460721.50,454
3648644,27.40,,,,,,,,2460600.5,60600,0.3942,1.222,0.740,5.00,2.34,89.07,22.39,1.70,2460569.80,494
3648643,24.62,,,,,,,,2460600.5,60600,0.4032,1.08,0.645,4.29,8.49,115.65,227.56,1.52,2460751.40,410
3648642,25.10,,,,,,,,2460600.5,60600,0.2708,0.8467,0.617,3.97,341.25,182.95,283.16,1.08,2460661.24,285
3648645,23.10,,,,,,,,2456565.5,56565,0.3289,1.529,1.026,28.48,4.07,349.98,6.93,2.03,2456552.21,690
3648641,21.74,,,,,,,,2460600.5,60600,0.1635,1.415,1.184,32.76,15.06,21.56,187.70,1.65,2460894.88,615
3648676,27.00,,,0.0584,,,,,2460600.5,60600,0.2311,1.337,1.028,0.81,186.02,205.39,37.48,1.65,2460541.71,565
3648677,25.00,,,,,,,,2456564.5,56564,0.5225,1.717,0.820,2.77,185.20,248.23,337.81,2.61,2456615.15,822
3648679,25.30,,,,,,,,2456563.5,56563,0.5552,2.255,1.003,7.87,183.47,209.09,352.90,3.51,2456587.88,1.24e+03
3648678,23.90,,,,,,,,2460600.5,60600,0.5711,2.484,1.065,3.35,19.90,8.72,291.91,3.90,2460870.88,1.43e+03
3648710,25.70,,,,,,,,2456566.5,56566,0.3164,1.611,1.101,2.39,179.75,169.62,8.83,2.12,2456548.19,747
3648711,25.00,,,,,,,,2460600.5,60600,0.2585,0.8333,0.618,10.09,189.43,353.68,13.29,1.05,2460590.24,278
3648712,23.40,,,,,,,,2456566.5,56566,0.1765,1.252,1.031,25.30,186.62,130.65,38.49,1.47,2456511.80,512
3648713,20.62,,,,,,,,2460600.5,60600,0.3657,1.709,1.084,16.67,342.93,332.43,2.01,2.33,2460595.95,816
3648714,24.50,,,0.23335,,,,,2460600.5,60600,0.3283,1.468,0.986,5.39,9.39,28.86,60.45,1.95,2460491.42,650
3648715,21.22,,,,,,,,2460600.5,60600,0.5569,2.73,1.210,17.63,16.00,355.55,158.86,4.25,2459873.26,1.65e+03
3648716,21.00,,,7.09,,,,,2460600.5,60600,0.6514,2.672,0.932,6.14,347.16,323.85,199.79,4.41,2461310.61,1.6e+03
3648729,23.50,,,,,,,,2460600.5,60600,0.4730,1.99,1.049,12.26,13.43,325.05,345.85,2.93,2460640.80,1.03e+03
3648738,23.90,,,,,,,,2456567.5,56567,0.3670,1.578,0.999,34.54,5.33,33.92,345.74,2.16,2456596.16,724
3648737,21.52,,,,,,,,2460600.5,60600,0.3282,1.533,1.030,18.42,211.36,84.06,342.52,2.04,2460634.15,693
3648761,19.34,,,,,,,,2460600.5,60600,0.5567,2.507,1.111,32.07,14.83,270.33,305.14,3.90,2460821.44,1.45e+03
3648736,23.40,,,,,,,,2456572.5,56572,0.5905,2.863,1.172,7.35,199.16,145.38,6.23,4.55,2456541.88,1.77e+03
