"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class"
1000126,"  137P/Shoemaker-Levy 2",137P,"JPL 44",5.8,0.5721,4.518,1.933,4.85,233.07,246.37,7.10,2458466.60,"Otto Matic",1990-09-16,2021-04-17,1224,140.99,JFc
1000137,"  138P/Shoemaker-Levy 7",138P,"JPL 19",,0.5295,3.628,1.707,10.08,309.44,5.86,5.55,2453571.40,"Shantanu Naidu",1991-11-13,2018-08-08,100,95.65,JFc
1000238,"  139P/Vaisala-Oterma",139P,"JPL 41",,0.2475,4.522,3.403,2.33,242.38,96.29,5.64,2454576.94,"Otto Matic",1939-10-07,2019-02-04,546,165.73,JFc
1000006,"  140P/Bowell-Skiff",140P,"JPL 25",,0.6918,6.397,1.972,3.84,343.46,0.44,10.82,2451313.31,,,,,173.09,JFc
1003394,"  141P/Machholz 2",141P,"JPL K202/13",,0.7367,3.055,0.804,13.98,241.88,267.16,5.31,2459199.46,"Davide Farnocchia",2015-05-24,2021-03-24,852,153.62,JFc
1000160,"  142P/Ge-Wang",142P,"JPL K213/5",,0.4991,4.966,2.487,12.31,176.52,29.02,7.45,2455346.61,"Shantanu Naidu",1999-09-15,2021-11-10,94,175.63,JFc
1000057,"  143P/Kowal-Mrkos",143P,"JPL 102",,0.4090,4.297,2.540,4.69,245.32,190.10,6.05,2458247.17,"Otto Matic",1984-04-23,2023-12-09,1165,320.78,JFc
1000148,"  144P/Kushida",144P,"JPL K242/34",,0.6351,3.829,1.397,3.93,242.98,310.84,6.26,2460335.30,"Davide Farnocchia",2016-08-01,2024-06-05,3108,216.35,JFc
1000135,"  145P/Shoemaker-Levy 5",145P,"JPL 32",,0.5410,4.143,1.902,11.26,26.84,253.07,6.38,2457997.33,"Otto Matic",1991-09-12,2018-05-14,880,10.42,JFc
1000084,"  146P/Shoemaker-LINEAR",146P,"JPL K244/17",,0.6470,4.032,1.423,23.10,53.39,222.87,6.64,2460528.00,"Davide Farnocchia",2000-09-27,2024-10-09,516,316.95,JFc
1000147,"  147P/Kushida-Muramatsu",147P,"JPL K083/2",0.42,0.2760,3.807,2.756,2.37,93.76,9.17,4.86,2454732.37,"Nick Mastrodemos",1993-12-08,2009-02-22,256,346.84,ETc
1000328,"  148P/Anderson-LINEAR",148P,"JPL 30",,0.5393,3.678,1.694,3.68,89.79,227.15,5.66,2457187.18,"Shantanu Naidu",1963-11-22,2023-04-18,250,6.60,JFc
1000139,"  149P/Mueller 4",149P,"JPL 15",,0.3883,4.326,2.646,29.75,145.26,128.28,6.01,2455246.20,"Otto Matic",1992-04-09,2019-07-31,494,43.57,JFc
1000333,"  150P/LONEOS",150P,"JPL 87",,0.5465,3.881,1.760,18.51,272.41,141.14,6.00,2457593.79,"Otto Matic",1978-03-06,2024-07-07,1320,245.62,JFc
1000115,"  151P/Helin",151P,"JPL 35",8.4,0.5709,5.807,2.492,4.73,143.55,215.44,9.12,2457302.12,"Otto Matic",1987-08-24,2016-01-26,420,215.53,JFc
1000145,"  152P/Helin-Lawrence",152P,"JPL 109",,0.3072,4.493,3.113,9.87,91.90,94.54,5.87,2456116.88,"Otto Matic",1993-04-21,2024-01-01,1287,163.59,JFc
1000374,"  153P/Ikeya-Zhang",153P,"JPL 74",,0.9901,51.12,0.507,28.12,93.37,0.13,101.73,2452352.48,"Davide Farnocchia",2001-08-25,2002-10-02,1893,34.67,COM
1000143,"  154P/Brewington",154P,"JPL K242/10",,0.6710,4.886,1.607,17.84,343.46,25.41,8.16,2456639.02,"Davide Farnocchia",2013-07-06,2024-10-08,2848,49.05,JFc
1000085,"  155P/Shoemaker 3",155P,"JPL 53",,0.7261,6.594,1.806,6.40,97.28,179.61,11.38,2452616.59,"Otto Matic",1986-01-10,2020-05-21,1966,14.60,JFc
1000433,"  156P/Russell-LINEAR",156P,"JPL 48",,0.6149,3.462,1.333,17.26,35.40,322.84,5.59,2459171.33,"Otto Matic",2000-08-31,2022-03-31,2317,0.38,JFc
1000096,"  157P/Tritton",157P,"JPL K222/10",,0.6275,3.368,1.255,11.18,289.43,213.80,5.48,2459793.57,"Shantanu Naidu",2015-08-09,2023-04-13,434,157.44,JFc
1000468,"  158P/Kowal-LINEAR",158P,"JPL 161",,0.0305,4.721,4.577,7.91,137.31,347.22,4.86,2456194.46,"Otto Matic",1979-07-24,2024-10-07,1074,232.49,JFc
1000470,"  159P/LONEOS",159P,"JPL 55",,0.3821,5.86,3.621,23.46,55.06,281.89,8.10,2458261.70,"Otto Matic",1989-12-17,2021-03-21,880,4.87,JFc
1000511,"  160P/LINEAR",160P,"JPL 59",,0.4791,3.967,2.067,17.28,337.00,0.06,5.87,2456189.02,"Otto Matic",1996-09-08,2020-10-24,973,18.20,JFc
1000042,"  161P/Hartley-IRAS",161P,"JPL 60",,0.8351,7.73,1.275,95.70,1.40,343.87,14.19,2453542.35,"Otto Matic",1983-11-23,2005-10-12,335,47.09,HTC
1000525,"  162P/Siding Spring",162P,"JPL 161",,0.5961,3.053,1.233,27.82,31.24,42.97,4.87,2455263.94,"Otto Matic",1990-03-23,2024-06-10,3197,356.32,JFc
1000521,"  163P/NEAT",163P,"JPL 40",,0.4760,3.68,1.928,12.50,103.35,91.67,5.43,2453402.85,"Shantanu Naidu",1990-10-24,2020-03-17,355,348.05,JFc
1000535,"  164P/Christensen",164P,"JPL K253/2",,0.5402,3.658,1.682,16.26,88.31,186.98,5.63,2458269.49,"Shantanu Naidu",2010-10-07,2024-10-04,1245,326.00,JFc
1000294,"  165P/LINEAR",165P,"JPL 51",,0.6216,18.05,6.830,15.91,0.64,5.18,29.27,2451711.29,"Otto Matic",2000-01-02,2003-04-25,143,126.21,CTc
1000356,"  166P/NEAT",166P,"JPL 51",,0.3831,13.88,8.564,15.37,64.49,7.70,19.20,2452415.34,"Otto Matic",2001-08-27,2009-02-28,168,321.88,CTc
1001647,"  167P/CINEOS",167P,"JPL 23",66.170,0.2700,16.14,11.783,19.13,295.84,16.52,20.50,2452009.34,"Otto Matic",2002-06-12,2011-10-19,94,343.65,CTc
1000242,"  168P/Hergenrother",168P,"JPL 58",,0.6095,3.624,1.415,21.93,356.48,308.01,5.83,2456202.43,"Otto Matic",1998-11-21,2013-02-08,3374,13.92,JFc
1001656,"  169P/NEAT",169P,"JPL 144",,0.7668,2.606,0.608,11.30,176.19,341.65,4.60,2455165.80,"Otto Matic",1989-03-07,2023-04-17,1322,217.96,JFc
1001649,"  170P/Christensen",170P,"JPL K232/29",,0.3041,4.201,2.923,10.12,142.92,316.68,5.48,2460054.93,"Shantanu Naidu",2014-06-23,2024-09-30,942,225.55,JFc
1000239,"  171P/Spahr",171P,"JPL K193/2",,0.5020,3.557,1.771,21.94,101.71,269.24,5.34,2458497.26,"Javier Roa",2005-09-01,2019-04-10,632,347.19,JFc
1000388,"  172P/Yeung",172P,"JPL 95",,0.2504,4.086,3.063,12.17,35.36,152.55,5.11,2454758.07,"Otto Matic",1993-10-20,2024-05-27,715,207.15,JFc
1000149,"  173P/Mueller 5",173P,"JPL 113",,0.2614,5.691,4.204,16.51,100.50,99.91,7.18,2454602.15,"Otto Matic",1992-09-25,2023-06-20,1194,29.39,JFc
1000291,"  175P/Hergenrother",175P,"JPL 62",,0.4222,3.489,2.016,6.09,126.44,212.81,4.96,2456438.70,"Otto Matic",2000-01-04,2019-01-11,846,51.14,JFc
1000909,"  177P/Barnard",177P,"JPL 29",,0.9544,24.3,1.107,31.22,272.07,358.96,47.50,2453976.18,"Otto Matic",1889-06-24,2006-12-11,1702,60.45,HTC
1000283,"  178P/Hug-Bell",178P,"JPL 51",,0.4730,3.669,1.934,10.98,103.57,326.07,5.41,2456496.52,"Otto Matic",1999-10-10,2021-03-17,1037,296.95,JFc
1000165,"  179P/Jedicke",179P,"JPL 63",,0.3071,5.937,4.114,19.86,115.62,171.89,7.76,2454438.55,"Otto Matic",1995-01-08,2024-02-11,557,296.30,JFc
1000341,"  180P/NEAT",180P,"JPL K233/28",,0.3549,3.858,2.489,16.87,84.57,17.34,5.23,2457369.14,"Davide Farnocchia",2006-10-23,2023-06-28,1053,94.86,JFc
1000136,"  181P/Shoemaker-Levy 6",181P,"JPL 16",,0.7073,3.839,1.124,16.98,37.68,11.75,6.55,2456818.83,"Ryan S. Park",1991-11-11,2014-06-15,88,333.80,JFc
1000380,"  182P/LONEOS",182P,"JPL 63",,0.6663,2.931,0.978,16.91,75.10,184.06,4.88,2454137.33,"Otto Matic",2001-10-26,2012-04-10,197,51.43,JFc
1000253,"  183P/Korlevic-Juric",183P,"JPL 59",,0.1350,4.494,3.888,18.74,5.84,148.39,5.10,2454589.90,"Otto Matic",1954-02-26,2019-07-06,731,160.89,JFc
1000112,"  184P/Lovas 2",184P,"JPL 44",6.2,0.6043,3.522,1.394,1.55,277.74,353.82,5.65,2456501.97,"Otto Matic",1986-11-30,2020-11-05,349,78.06,JFc
1000349,"  185P/Petriew",185P,"JPL K233/14",,0.6988,3.1,0.934,14.00,214.10,176.38,5.27,2456152.55,"Shantanu Naidu",2012-05-27,2024-02-06,715,181.94,JFc
1002441,"  186P/Garradd",186P,"JPL 65",,0.1268,4.95,4.322,28.54,327.58,103.91,5.58,2454615.48,"Otto Matic",1975-05-31,2022-11-04,880,287.34,JFc
1000262,"  187P/LINEAR",187P,"JPL 41",,0.1732,4.494,3.715,13.66,111.74,86.86,5.27,2454762.08,"Otto Matic",1999-05-12,2020-09-16,296,134.74,JFc
1000231,"  188P/LINEAR-Mueller",188P,"JPL K172/9",,0.4149,4.384,2.565,10.51,358.98,359.89,6.20,2457801.54,"Shantanu Naidu",2007-05-13,2018-04-18,1161,26.77,JFc
1000400,"  189P/NEAT",189P,"JPL 66",,0.5976,2.918,1.174,20.40,282.20,98.30,4.66,2454307.44,"Otto Matic",2002-07-30,2022-08-24,1469,15.31,JFc
1000233,"  190P/Mueller",190P,"JPL 56",,0.5210,4.243,2.032,2.17,335.55,301.71,6.45,2457486.37,"Otto Matic",1998-09-14,2024-10-11,581,50.45,JFc
1002466,"  191P/McNaught",191P,"JPL 72",,0.4207,3.533,2.046,8.76,106.50,132.91,5.02,2454357.11,"Otto Matic",2000-08-05,2022-01-14,787,274.21,JFc
1000125,"  192P/Shoemaker-Levy 1",192P,"JPL 32",,0.7734,6.471,1.467,24.56,51.51,95.96,11.48,2454451.72,"Otto Matic",1990-11-15,2024-10-01,201,313.12,JFc
1000350,"  193P/LINEAR-NEAT",193P,"JPL 62",,0.3942,3.575,2.166,10.69,335.19,33.29,4.98,2456986.15,"Otto Matic",2001-08-17,2022-02-11,944,8.44,JFc
1000290,"  194P/LINEAR",194P,"JPL K243/8",,0.5743,4.006,1.705,11.12,352.05,161.90,6.31,2454522.56,"Davide Farnocchia",2007-11-17,2024-05-02,152,130.54,JFc
1002431,"  195P/Hill",195P,"JPL 72",,0.3161,6.477,4.430,36.39,243.19,104.71,8.52,2454853.19,"Otto Matic",1993-02-26,2024-03-19,495,249.51,JFc
1000317,"  196P/Tichy",196P,"JPL 43",,0.4344,3.775,2.135,19.38,24.26,355.45,5.41,2457188.32,"Otto Matic",2000-09-24,2022-12-24,459,11.95,JFc
1000441,"  197P/LINEAR",197P,"JPL 49",,0.6299,2.867,1.061,25.56,66.40,238.00,4.67,2454605.50,"Otto Matic",2003-05-23,2023-10-17,325,188.75,JFc
1000244,"  198P/ODAS",198P,"JPL 33",,0.4477,3.583,1.979,1.35,358.74,244.04,5.19,2453493.54,"Otto Matic",1998-12-15,2018-12-25,200,69.06,JFc
1000151,"  199P/Shoemaker 4",199P,"JPL 86",,0.5075,5.948,2.929,24.76,92.62,50.89,8.97,2454929.60,"Otto Matic",1994-05-14,2023-11-14,863,191.83,JFc
1000169,"  200P/Larsen",200P,"JPL 46",,0.3332,4.908,3.272,12.12,234.82,338.97,6.54,2454703.51,"Otto Matic",1997-11-03,2019-12-20,610,133.69,JFc
1000353,"  201P/LONEOS",201P,"JPL 41",,0.6129,3.461,1.340,7.04,35.29,209.80,5.58,2457036.83,"Otto Matic",2001-08-09,2015-04-16,865,24.95,JFc
1000364,"  202P/Scotti",202P,"JPL 87",,0.3304,3.774,2.527,2.19,194.59,292.61,5.02,2454869.73,"Otto Matic",1929-11-27,2023-12-04,444,255.60,JFc
1000292,"  203P/Korlevic",203P,"JPL 131",,0.3160,4.654,3.183,2.97,290.52,70.58,6.12,2455236.54,"Otto Matic",1999-11-03,2021-05-07,1166,154.72,JFc
1000361,"  204P/LINEAR-NEAT",204P,"JPL K223/31",,0.4722,3.656,1.930,6.59,109.07,306.64,5.38,2457368.03,"Davide Farnocchia",2008-09-08,2023-05-14,1273,355.05,JFc
1000933,"  205P/Giacobini",205P,"JPL K223/5",,0.5669,3.547,1.536,15.29,179.62,293.76,5.56,2457156.50,"Shantanu Naidu",2008-09-10,2021-11-14,564,154.26,JFc
1000921,"  206P/Barnard-Boattini",206P,"JPL 14",,0.6485,3.234,1.136,33.20,204.38,217.44,5.33,2454763.55,"Otto Matic",1892-10-16,2009-01-04,284,181.36,JFc
1000339,"  207P/NEAT",207P,"JPL 106",,0.7591,3.872,0.933,10.19,198.34,248.36,6.81,2460341.38,"Otto Matic",2001-05-11,2024-05-30,945,273.00,JFc
1003003,"  208P/McMillan",208P,"JPL 37",,0.3722,4.049,2.542,4.41,36.43,253.15,5.56,2457571.61,"Otto Matic",2000-09-23,2024-10-09,375,310.65,JFc
1000487,"  209P/LINEAR",209P,"JPL 155",,0.6814,2.95,0.940,21.34,62.87,225.58,4.96,2456778.34,"Otto Matic",2003-12-03,2024-09-15,2879,152.63,JFc
1000440,"  210P/Christensen",210P,"JPL 53",,0.8317,3.176,0.534,10.22,93.87,71.41,5.82,2454820.48,"Otto Matic",2003-05-26,2020-07-11,715,345.77,JFc
1003004,"  211P/Hill",211P,"JPL 68",,0.3392,3.559,2.352,18.89,117.27,260.47,4.77,2457414.62,"Otto Matic",2003-03-24,2023-04-22,854,4.34,JFc
1003009,"  212P/NEAT",212P,"JPL 29",1.7,0.5790,3.924,1.652,22.41,98.91,96.58,6.20,2454803.75,"Otto Matic",2000-12-01,2024-04-08,154,14.98,JFc
1001663,"  213P/Van Ness",213P,"JPL K171/5",,0.4075,3.347,1.983,10.38,311.32,355.11,4.71,2458020.87,"Davide Farnocchia",2017-04-22,2018-12-10,353,5.55,JFc
1000384,"  214P/LINEAR",214P,"JPL 18",,0.4896,3.604,1.840,15.23,348.31,65.67,5.37,2452334.55,"Otto Matic",2002-01-15,2009-05-03,131,190.16,JFc
1000402,"  215P/NEAT",215P,"JPL 89",,0.2001,4.329,3.463,10.05,63.05,196.92,5.20,2458751.99,"Otto Matic",1994-09-11,2024-02-01,1002,253.82,JFc
1000331,"  216P/LINEAR",216P,"JPL 52",,0.4455,3.875,2.149,9.05,359.87,43.16,5.60,2457539.44,"Otto Matic",2001-02-01,2024-06-06,403,151.51,JFc
1000345,"  217P/LINEAR",217P,"JPL 137",,0.6896,3.944,1.224,12.88,125.62,44.92,6.66,2455083.49,"Otto Matic",2001-06-21,2024-06-12,3288,246.77,JFc
1000437,"  218P/LINEAR",218P,"JPL 45",,0.4911,3.342,1.701,18.17,226.61,67.33,4.98,2455005.09,"Otto Matic",2003-04-29,2015-09-15,712,10.78,JFc
1000467,"  219P/LINEAR",219P,"JPL 107",,0.3520,3.65,2.365,11.53,231.03,190.58,4.93,2457806.14,"Otto Matic",2002-06-05,2024-09-30,1070,107.52,JFc
1000498,"  220P/McNaught",220P,"JPL 55",,0.5022,3.113,1.550,8.13,150.12,116.41,4.68,2455180.74,"Otto Matic",2004-05-20,2020-12-04,484,180.75,JFc
1000393,"  221P/LINEAR",221P,"JPL 72",,0.4876,3.473,1.780,11.43,229.99,140.94,5.17,2454855.86,"Otto Matic",2002-04-14,2022-10-23,627,39.51,JFc
1000530,"  222P/LINEAR",222P,"JPL 37",,0.7268,2.857,0.781,5.15,7.13,267.12,4.93,2455075.67,"Otto Matic",2004-12-07,2019-05-26,239,345.43,JFc
1000412,"  223P/Skiff",223P,"JPL 72",,0.4164,4.148,2.420,27.05,346.82,44.74,5.87,2455423.02,"Otto Matic",2001-07-27,2021-03-19,776,37.86,JFc
1000472,"  224P/LINEAR-NEAT",224P,"JPL 17",,0.4373,3.37,1.896,14.87,43.27,144.29,4.84,2452907.99,"Otto Matic",2003-11-20,2023-01-11,107,10.94,JFc
1000413,"  225P/LINEAR",225P,"JPL 54",,0.6374,3.651,1.324,21.34,14.18,174.10,5.98,2457616.97,"Otto Matic",2002-09-29,2024-02-14,519,3.88,JFc
1000425,"  226P/Pigott-LINEAR-Kowalski",226P,"JPL K233/28",,0.5282,3.769,1.778,44.00,54.01,125.36,5.76,2457636.02,"Davide Farnocchia",2009-09-10,2024-04-12,1679,341.10,JFc
1000494,"  227P/Catalina-LINEAR",227P,"JPL 55",,0.5104,3.559,1.743,6.51,48.60,200.71,5.38,2460384.76,"Otto Matic",1997-01-15,2024-07-23,1233,90.85,JFc
1000381,"  228P/LINEAR",228P,"JPL 73",,0.1769,4.168,3.430,7.92,31.07,341.82,4.91,2455797.44,"Otto Matic",2001-12-09,2021-05-11,433,114.81,JFc
1003037,"  229P/Gibbs",229P,"JPL 38",,0.3761,3.934,2.454,26.07,157.91,265.88,5.41,2457894.49,"Otto Matic",2001-08-23,2024-10-08,284,224.24,JFc
1003048,"  230P/LINEAR",230P,"JPL 83",,0.5631,3.4,1.485,14.65,112.40,337.82,5.31,2457344.57,"Otto Matic",1997-01-10,2024-05-07,1516,308.91,JFc
1000427,"  231P/LINEAR-NEAT",231P,"JPL 55",,0.2468,4.026,3.032,12.33,133.08,48.99,5.02,2455697.93,"Otto Matic",1950-04-20,2020-06-26,573,42.43,JFc
1003050,"  232P/Hill",232P,"JPL 29",,0.3349,4.485,2.983,14.64,56.13,37.93,5.99,2455105.95,"Otto Matic",1999-12-12,2019-04-09,297,53.42,JFc
1003062,"  233P/La Sagra",233P,"JPL 16",,0.4106,3.034,1.788,11.28,74.98,201.77,4.28,2457198.81,"Otto Matic",2005-02-09,2021-04-17,109,27.14,ETc
1003071,"  234P/LINEAR",234P,"JPL 28",,0.2511,3.82,2.861,11.51,179.73,341.41,4.78,2455189.33,"Otto Matic",2001-12-26,2024-02-14,293,358.41,JFc
1003075,"  235P/LINEAR",235P,"JPL 20",,0.3134,4.002,2.748,8.89,204.49,53.10,5.26,2455277.22,"Otto Matic",2001-12-26,2018-06-03,268,333.74,JFc
1000469,"  236P/LINEAR",236P,"JPL 51",,0.5086,3.728,1.832,16.33,245.66,70.83,5.62,2455448.21,"Otto Matic",2003-09-27,2024-07-27,855,119.34,JFc
1003096,"  237P/LINEAR",237P,"JPL K233/50",,0.4344,3.512,1.987,14.01,245.38,281.30,5.04,2460079.08,"Davide Farnocchia",2010-06-10,2024-10-11,2245,25.24,JFc
1001676,"  238P/Read",238P,"JPL 38",,0.2517,3.166,2.369,1.26,51.63,17.77,3.96,2459735.93,"Davide Farnocchia",2005-11-22,2022-12-24,119,324.21,ETc
1000295,"  239P/LINEAR",239P,"JPL 18",,0.6314,4.47,1.648,11.31,255.94,273.66,7.29,2458493.47,"Otto Matic",1999-11-14,2019-04-19,365,220.38,JFc
1000422,"  240P/NEAT",240P,"JPL K252/4",,0.4489,3.872,2.134,23.50,74.93,16.71,5.61,2458254.35,"Davide Farnocchia",2017-07-06,2024-09-04,983,352.09,JFc
1000280,"  241P/LINEAR",241P,"JPL 66",,0.6099,4.954,1.932,20.87,305.81,147.11,7.98,2455394.86,"Otto Matic",1999-10-30,2022-04-29,874,110.53,JFc
1000236,"  242P/Spahr",242P,"JPL 111",,0.2770,5.506,3.981,32.49,180.71,45.38,7.03,2456020.61,"Otto Matic",1997-10-29,2024-10-10,742,247.71,JFc
1000454,"  243P/NEAT",243P,"JPL 48",,0.3597,3.836,2.456,7.63,87.72,349.97,5.22,2455623.98,"Otto Matic",2003-08-01,2020-01-23,745,283.94,JFc
1000323,"  244P/Scotti",244P,"JPL 191",,0.1986,4.892,3.921,2.26,354.13,69.86,5.86,2455947.46,"Otto Matic",2000-11-29,2024-05-27,1834,92.75,JFc
1003095,"  245P/WISE",245P,"JPL 17",,0.4661,4.008,2.139,21.09,318.53,337.45,5.88,2455232.04,"Otto Matic",2002-08-27,2018-10-04,103,316.40,JFc
1000486,"  246P/NEAT",246P,"JPL 261",,0.2850,4.028,2.880,15.97,78.78,12.48,5.18,2456321.14,"Otto Matic",2002-01-06,2024-01-28,4902,176.17,JFc
1003115,"  247P/LINEAR",247P,"JPL 23",,0.6256,3.965,1.484,13.68,54.12,30.94,6.45,2455565.66,"Otto Matic",2002-11-05,2019-04-08,1346,47.34,JFc
1003114,"  248P/Gibbs",248P,"JPL 19",,0.6412,5.982,2.147,6.37,207.79,348.30,9.82,2455601.21,"Otto Matic",1996-09-14,2011-03-21,160,209.91,JFc
1002424,"  249P/LINEAR",249P,"JPL 50",,0.8187,2.77,0.502,8.40,239.85,255.31,5.04,2457353.29,"Otto Matic",2006-10-19,2021-01-18,884,64.81,JFc
1003117,"  250P/Larson",250P,"JPL 31",,0.4074,3.733,2.213,13.30,73.74,130.50,5.25,2455515.40,"Otto Matic",1995-12-22,2024-10-01,474,44.93,JFc
1000495,"  251P/LINEAR",251P,"JPL 44",,0.5098,3.492,1.712,23.51,219.55,154.96,5.27,2453175.57,"Otto Matic",2004-04-17,2024-09-06,431,30.91,JFc
1000298,"  252P/LINEAR",252P,"JPL K212/2",,0.6731,3.047,0.996,10.42,190.95,16.63,5.10,2457462.76,"Davide Farnocchia",2016-04-05,2021-08-29,122,343.31,JFc
1003147,"  253P/PANSTARRS",253P,"JPL 30",,0.4125,3.468,2.037,4.94,146.89,255.01,4.90,2458246.45,"Otto Matic",1998-09-14,2024-10-10,604,230.74,JFc
1003106,"  254P/McNaught",254P,"JPL 63",,0.3204,4.616,3.137,32.57,129.17,350.31,6.10,2459122.05,"Otto Matic",1980-10-05,2024-03-11,815,219.46,JFc
1002422,"  255P/Levy",255P,"JPL 40",,0.6720,3.025,0.992,18.33,279.78,82.56,5.06,2454015.88,"Otto Matic",2006-10-02,2021-10-07,503,179.59,JFc
1000445,"  256P/LINEAR",256P,"JPL 66",,0.4194,4.631,2.689,27.63,81.44,68.87,6.57,2456369.03,"Otto Matic",2003-01-27,2023-07-08,270,124.12,JFc
1000588,"  257P/Catalina",257P,"JPL 111",,0.4324,3.754,2.131,20.24,207.85,76.93,5.38,2456447.91,"Otto Matic",2005-04-17,2021-12-02,2118,117.88,JFc
1003186,"  258P/PANSTARRS",258P,"JPL 12",,0.2104,4.405,3.478,6.75,126.29,202.41,5.33,2459018.56,"Otto Matic",2002-03-11,2021-05-18,80,26.01,JFc
1002991,"  259P/Garradd",259P,"JPL 14",,0.3415,2.727,1.796,15.90,51.97,207.00,3.66,2456317.75,"Otto Matic",2008-09-02,2017-09-21,68,256.59,ETc
1000584,"  260P/McNaught",260P,"JPL 96",,0.5943,3.676,1.491,15.77,351.86,106.35,5.86,2456183.01,"Otto Matic",2005-05-20,2020-02-25,6700,15.58,JFc
1001652,"  261P/Larson",261P,"JPL 49",,0.3919,3.592,2.184,6.34,298.43,72.10,5.00,2456200.60,"Otto Matic",2005-07-03,2020-02-12,1017,58.97,JFc
1000154,"  262P/McNaught-Russell",262P,"JPL 40",,0.8154,6.935,1.280,29.08,218.01,341.30,12.59,2456265.96,"Otto Matic",1994-12-12,2013-04-22,1339,171.17,JFC
1002435,"  263P/Gibbs",263P,"JPL 51",,0.5878,3.06,1.261,11.54,105.81,71.27,4.86,2458026.40,"Otto Matic",2006-11-10,2023-07-08,771,34.57,JFc
1000493,"  264P/Larsen",264P,"JPL 18",,0.3737,3.893,2.438,25.15,220.97,79.77,5.35,2453077.76,"Otto Matic",2004-04-22,2019-06-24,112,346.62,JFc
1000447,"  265P/LINEAR",265P,"JPL 30",,0.6460,4.253,1.505,14.69,344.71,4.29,7.00,2452888.31,"Otto Matic",2003-07-29,2012-06-23,539,32.72,JFc
1002425,"  266P/Christensen",266P,"JPL K202/11",,0.3396,3.532,2.332,3.43,5.00,207.38,4.73,2458959.34,"Javier Roa",2012-08-15,2020-04-16,520,98.01,ETc
1002412,"  267P/LONEOS",267P,"JPL 24",,0.5934,3.29,1.338,5.37,245.25,63.94,5.24,2453981.43,"Otto Matic",2006-08-29,2018-11-17,197,96.86,JFc
1001677,"  268P/Bernardi",268P,"JPL 21",,0.4802,4.521,2.350,15.66,129.22,65.61,6.69,2453596.53,"Otto Matic",2004-09-22,2016-03-05,74,358.20,JFc
1000166,"  269P/Jedicke",269P,"JPL 81",,0.4347,7.212,4.077,6.61,248.99,266.12,10.35,2456987.42,"Otto Matic",1993-10-12,2017-03-21,904,223.92,JFc
1000161,"  270P/Gehrels",270P,"JPL 64",,0.4676,6.752,3.595,2.86,225.68,257.50,9.91,2456492.02,"Otto Matic",1997-02-01,2014-03-28,381,211.48,JFc
1000103,"  271P/van Houten-Lemmon",271P,"JPL 27",,0.3907,6.974,4.250,6.86,9.59,344.88,9.70,2456479.04,"Otto Matic",1960-09-24,2015-01-20,96,35.09,JFc
1000484,"  272P/NEAT",272P,"JPL 31",,0.4565,4.446,2.416,18.19,111.52,248.90,6.48,2456353.22,"Otto Matic",2003-12-01,2023-02-14,189,26.20,JFc
1000765,"  273P/Pons-Gambart",273P,"JPL 11",,0.9753,32.83,0.810,136.40,320.43,0.46,64.85,2456281.17,"Otto Matic",1827-06-21,2014-04-04,1140,20.19,HTC
1001015,"  274P/Tombaugh-Tenagra",274P,"JPL 54",,0.4397,4.364,2.445,15.83,81.37,109.23,6.28,2456347.08,"Otto Matic",1931-01-12,2023-05-21,915,38.59,JFc
1000248,"  275P/Hermann",275P,"JPL 22",,0.7139,5.765,1.649,21.57,349.27,132.59,9.88,2451229.48,"Otto Matic",1999-02-15,2013-03-18,155,173.14,JFc
1003214,"  276P/Vorobjov",276P,"JPL 56",,0.2672,5.314,3.894,14.82,211.43,238.17,6.73,2460661.61,"Otto Matic",2000-12-19,2024-10-10,602,199.87,JFc
1002318,"  277P/LINEAR",277P,"JPL 30",,0.5038,3.858,1.914,16.75,276.35,155.99,5.80,2456448.33,"Otto Matic",2005-09-15,2021-03-18,828,152.18,JFc
1002397,"  278P/McNaught",278P,"JPL 49",,0.4334,3.7,2.096,6.68,15.49,93.43,5.30,2456506.94,"Otto Matic",2006-05-22,2021-09-11,519,237.92,JFc
1003040,"  279P/La Sagra",279P,"JPL 33",,0.3979,3.575,2.153,5.05,346.28,162.13,5.00,2455114.37,"Otto Matic",2002-07-11,2024-01-02,290,6.02,JFc
1000492,"  280P/Larsen",280P,"JPL 38",,0.4177,4.513,2.628,11.78,131.49,193.85,6.40,2456637.71,"Otto Matic",2004-04-19,2023-04-28,166,104.86,JFc
1003234,"  281P/MOSS",281P,"JPL 12",,0.1734,4.856,4.014,4.72,87.17,334.08,5.70,2456059.95,"Otto Matic",2000-11-17,2023-02-20,101,26.42,JFc
1003254,"  283P/Spacewatch",283P,"JPL 9",,0.4857,4.134,2.126,14.46,161.25,314.28,6.14,2456389.49,"Otto Matic",1996-02-17,2013-08-08,114,22.00,JFc
1002452,"  284P/McNaught",284P,"JPL K212/2",,0.3757,3.673,2.293,11.86,144.29,198.92,5.05,2459471.74,"Davide Farnocchia",2013-05-01,2024-02-04,1370,202.77,JFc
1000462,"  285P/LINEAR",285P,"JPL 51",,0.6179,4.509,1.723,25.02,185.48,252.03,7.30,2459957.35,"Otto Matic",2003-09-19,2023-01-09,933,178.40,JFc
