"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class","moid"
20139359,"139359 (2001 ME1)",139359,"JPL 130",,0.8700,2.634,0.342,5.96,84.57,138.82,4.93,2459998.38,"Otto Matic",2001-05-25,2023-04-23,742,302.40,APO,0.0134
20139622,"139622 (2001 QQ142)",139622,"JPL 209",,0.3101,1.421,0.980,9.34,83.16,190.84,1.86,2460891.11,Giorgini,2001-08-22,2024-05-02,1164,337.95,APO,0.0117
20140039,"140039 (2001 SO73)",140039,"JPL 165",,0.5679,1.821,0.787,4.85,197.14,222.91,2.86,2460942.37,"Otto Matic",2001-09-19,2023-12-06,772,31.03,APO,0.0451
20140158,"140158 (2001 SX169)",140158,"JPL 187",0.566,0.4608,1.347,0.726,2.52,126.78,94.39,1.97,2460450.73,"Otto Matic",2001-09-07,2024-03-05,911,42.73,APO,0.026
20140288,"140288 (2001 SN289)",140288,"JPL 102",1.263,0.5082,1.784,0.877,53.19,357.06,344.42,2.69,2460638.18,"Otto Matic",1996-08-14,2022-05-19,484,225.64,APO,0.016
20141053,"141053 (2001 XT1)",141053,"JPL 93",,0.5795,1.528,0.643,2.73,316.21,67.95,2.41,2460470.23,"Otto Matic",2001-12-09,2023-02-12,482,31.39,APO,0.0412
20141432,"141432 (2002 CQ11)",141432,"JPL 104",0.239,0.4275,0.9762,0.559,2.47,81.34,241.70,1.39,2460716.28,"Otto Matic",2002-02-06,2012-05-10,472,272.65,ATE,0.0194
20141495,"141495 (2002 EZ11)",141495,"JPL 210",,0.8021,1.114,0.220,2.35,51.88,194.78,2.01,2460797.60,"Otto Matic",2002-02-24,2024-04-07,1040,317.78,APO,0.000866
20141525,"141525 (2002 FV5)",141525,"JPL 140",,0.7245,1.087,0.299,34.04,38.84,251.11,1.87,2460725.70,"Otto Matic",2002-03-21,2024-06-09,713,308.11,APO,0.0343
20141527,"141527 (2002 FG7)",141527,"JPL 89",,0.6268,1.513,0.565,9.20,187.48,82.57,2.46,2460444.55,"Otto Matic",1990-07-23,2021-07-07,764,247.69,APO,0.0416
20141593,"141593 (2002 HK12)",141593,"JPL 191",,0.5287,2.002,0.943,2.35,306.98,301.23,3.06,2460769.37,"Otto Matic",1985-06-11,2022-12-24,1486,2.25,APO,0.0237
20141614,"141614 (2002 JV15)",141614,"JPL 63",,0.5361,1.624,0.753,7.19,200.62,269.02,2.49,2460791.50,"Otto Matic",2002-04-26,2010-05-28,295,127.39,APO,0.0395
20141851,"141851 (2002 PM6)",141851,"JPL 160",,0.8501,1.198,0.180,19.13,304.00,11.09,2.22,2460585.74,"Otto Matic",2000-09-20,2023-09-06,869,224.53,APO,0.0384
20143404,"143404 (2003 BD44)",143404,"JPL 230",,0.6075,1.968,0.772,2.66,181.18,242.26,3.16,2460930.23,"Otto Matic",1981-02-28,2024-01-05,1572,89.36,APO,0.0178
20143487,"143487 (2003 CR20)",143487,"JPL 61",,0.7301,2.124,0.573,4.99,177.06,329.95,3.67,2460694.89,"Otto Matic",1975-10-06,2012-11-02,287,88.83,APO,0.000297
20143624,"143624 (2003 HM16)",143624,"JPL 251",2.137,0.5773,1.967,0.831,35.54,195.84,262.55,3.10,2460873.24,"Otto Matic",2003-04-27,2024-01-04,1129,47.18,APO,0.0499
20143649,"143649 (2003 QQ47)",143649,"JPL 188",,0.1870,1.085,0.882,62.10,0.99,174.10,1.29,2460400.77,"Otto Matic",2003-08-24,2023-05-09,1244,104.96,APO,0.00463
20143651,"143651 (2003 QO104)",143651,"JPL 282",,0.5262,2.133,1.011,11.62,58.17,335.50,3.26,2460677.96,"Otto Matic",1981-07-10,2024-03-27,1266,183.60,APO,0.00149
20143992,"143992 (2004 AF)",143992,"JPL 190",,0.5538,1.971,0.879,27.13,315.62,205.38,3.06,2461034.62,"Otto Matic",1985-01-21,2024-05-01,1127,57.98,APO,0.0338
20144332,"144332 (2004 DV24)",144332,"JPL 282",,0.2898,1.423,1.011,55.89,171.13,206.42,1.84,2460865.00,"Otto Matic",1955-04-24,2024-03-13,1991,186.41,APO,0.00623
20144898,"144898 (2004 VD17)",144898,"JPL 215",,0.5886,1.508,0.620,4.22,223.98,306.24,2.40,2460701.51,"Otto Matic",2002-02-16,2024-02-10,1446,90.98,APO,0.00139
20144900,"144900 (2004 VG64)",144900,"JPL 90",,0.6557,0.9683,0.333,36.25,208.85,29.68,1.60,2460571.81,"Otto Matic",2004-11-13,2024-01-10,359,43.93,ATE,0.0279
20152560,"152560 (1991 BN)",152560,"JPL 114",,0.3979,1.443,0.869,3.45,268.81,256.49,2.02,2460782.62,"Otto Matic",1991-01-19,2024-03-05,516,80.99,APO,0.021
20152561,"152561 (1991 RB)",152561,"JPL 40",,0.4857,1.454,0.748,19.58,359.29,279.78,2.16,2460743.26,"Otto Matic",1977-08-19,2020-04-27,117,68.96,APO,0.0384
20152637,"152637 (1997 NC1)",152637,"JPL 66",,0.2085,0.8649,0.685,16.72,96.46,115.84,1.05,2460505.96,"Otto Matic",1997-07-05,2022-09-21,383,16.59,ATE,0.0179
20152664,"152664 (1998 FW4)",152664,"JPL 123",,0.7143,2.525,0.721,3.42,353.60,264.00,4.33,2460991.32,"Otto Matic",1994-03-09,2022-02-04,595,85.47,APO,0.0151
20152671,"152671 (1998 HL3)",152671,"JPL 126",0.298,0.3659,1.129,0.716,2.68,163.64,286.27,1.54,2460690.24,"Otto Matic",1998-04-21,2024-01-14,538,188.16,APO,0.0453
20152680,"152680 (1998 KJ9)",152680,"JPL 42",,0.6396,1.448,0.522,10.93,98.54,16.67,2.37,2460571.04,"Otto Matic",1990-01-01,2024-06-03,244,260.12,APO,0.0057
20152685,"152685 (1998 MZ)",152685,"JPL 137",,0.5729,1.346,0.575,0.15,122.28,349.07,2.12,2460617.83,"Otto Matic",1998-06-18,2023-06-29,458,39.24,APO,0.00158
20152754,"152754 (1999 GS6)",152754,"JPL 87",0.414,0.4974,1.191,0.599,2.02,314.42,283.40,1.78,2460701.53,"Otto Matic",1999-04-15,2024-05-31,407,134.97,APO,0.0189
20152770,"152770 (1999 RR28)",152770,"JPL 133",,0.6542,1.879,0.650,7.14,178.16,231.90,3.11,2460935.14,"Otto Matic",1987-04-20,2023-06-08,718,284.58,APO,0.0161
20152828,"152828 (1999 VT25)",152828,"JPL 48",,0.5231,1.162,0.554,5.15,221.94,253.70,1.77,2460735.62,"Otto Matic",1999-11-12,2024-10-07,137,319.24,APO,0.0483
20152978,"152978 (2000 GJ147)",152978,"JPL 168",0.531,0.2367,1.162,0.887,25.01,57.85,134.02,1.44,2460430.11,"Otto Matic",2000-04-13,2021-01-16,688,240.80,APO,0.0239
20153002,"153002 (2000 JG5)",153002,"JPL 79",,0.7961,1.341,0.273,31.43,213.04,307.51,2.41,2460683.17,"Otto Matic",2000-05-02,2024-08-03,419,233.45,APO,0.0284
20153201,"153201 (2000 WO107)",153201,"JPL 183",0.510,0.7808,0.9111,0.200,7.77,69.20,219.51,1.62,2460724.47,"Otto Matic",2000-11-29,2024-02-16,1134,213.75,ATE,0.00292
20153220,"153220 (2000 YN29)",153220,"JPL 62",,0.6683,2.542,0.843,6.23,64.22,288.37,4.24,2460895.10,"Otto Matic",1997-06-08,2021-01-14,178,142.59,APO,0.0313
20153311,"153311 (2001 MG1)",153311,"JPL 84",,0.6459,2.502,0.886,28.40,142.33,304.13,4.12,2460824.77,"Otto Matic",1989-07-01,2022-02-21,224,218.52,APO,0.0384
20153591,"153591 (2001 SN263)",153591,"JPL 316",2,0.4799,1.988,1.034,6.69,325.72,343.42,2.94,2460647.65,"Otto Matic",1990-09-25,2024-09-13,3641,173.04,AMO,0.0493
20153814,"153814 (2001 WN5)",153814,"JPL 187",0.932,0.4670,1.712,0.912,1.92,277.35,110.47,2.51,2460349.48,"Otto Matic",1996-02-10,2023-02-12,998,44.67,APO,0.0015
20153958,"153958 (2002 AM31)",153958,"JPL 151",,0.4515,1.703,0.934,4.64,144.37,166.89,2.47,2460224.17,"Otto Matic",1983-05-07,2024-03-02,810,197.96,APO,0.0314
20154019,"154019 (2002 CZ9)",154019,"JPL 13",,0.3601,1.325,0.848,4.97,142.84,264.53,1.80,2460748.30,"Otto Matic",2002-01-10,2005-07-02,69,80.88,APO,0.026
20154269,"154269 (2002 SM)",154269,"JPL 81",,0.4865,1.872,0.961,14.40,10.78,300.04,2.78,2460756.29,"Otto Matic",2002-09-13,2023-12-04,303,217.51,APO,0.0251
20154275,"154275 (2002 SR41)",154275,"JPL 98",,0.4907,1.084,0.552,11.58,247.77,119.73,1.62,2460463.47,"Otto Matic",2002-09-30,2023-07-08,486,258.20,APO,0.0355
20154276,"154276 (2002 SY50)",154276,"JPL 152",1.060,0.6888,1.704,0.530,8.75,34.03,288.08,2.88,2460762.88,"Otto Matic",2002-08-25,2024-10-05,1019,99.68,APO,0.00387
20154302,"154302 (2002 UQ3)",154302,"JPL 139",,0.5615,1.72,0.754,28.83,222.70,230.42,2.69,2460896.95,"Otto Matic",2002-10-05,2024-08-27,916,280.97,APO,0.0404
20154330,"154330 (2002 VX94)",154330,"JPL 144",,0.4086,1.477,0.873,7.16,320.06,353.41,2.08,2460612.50,"Otto Matic",1986-11-27,2023-10-09,553,215.23,APO,0.032
20154590,"154590 (2003 MA3)",154590,"JPL 41",0.086,0.4022,1.105,0.661,1.42,152.67,56.99,1.55,2460533.33,"Otto Matic",1998-01-29,2018-05-22,116,228.88,APO,0.0131
20155338,"155338 (2006 MZ1)",155338,"JPL 25",,0.4826,1.569,0.812,2.08,226.58,81.14,2.33,2460438.66,"Otto Matic",2002-06-16,2007-02-10,134,138.70,APO,0.013
20159504,"159504 (2000 WO67)",159504,"JPL 161",2.324,0.6172,2.433,0.931,9.69,107.57,138.95,3.93,2460065.47,"Otto Matic",2000-11-27,2024-02-12,720,237.82,APO,0.0497
20159857,"159857 (2004 LJ1)",159857,"JPL 401",3.070,0.5935,2.263,0.920,23.15,235.54,319.37,3.61,2460740.84,"Otto Matic",1995-02-03,2024-06-10,3293,140.02,APO,0.0159
20161989,"161989 Cacus (1978 CA)",161989,"JPL 288",1.9,0.2139,1.123,0.883,26.06,161.21,338.81,1.36,2460626.08,"Otto Matic",1978-02-08,2023-01-28,1792,102.09,APO,0.0153
20162000,"162000 (1990 OS)",162000,"JPL 99",0.4,0.4624,1.678,0.902,1.09,346.51,239.67,2.45,2460865.99,"Otto Matic",1990-07-21,2024-02-11,426,21.59,APO,0.00896
20162039,"162039 (1996 JG)",162039,"JPL 68",,0.6604,1.802,0.612,5.28,52.83,246.30,2.99,2460879.45,"Otto Matic",1996-05-08,2021-01-06,482,280.26,APO,0.0122
20162082,"162082 (1998 HL1)",162082,"JPL 170",,0.1870,1.246,1.013,20.05,213.53,228.22,1.48,2460786.53,"Otto Matic",1998-04-18,2023-12-03,2120,148.66,APO,0.0416
20162116,"162116 (1998 SA15)",162116,"JPL 32",0.538,0.5585,1.916,0.846,7.11,114.17,267.66,2.99,2460848.93,"Otto Matic",1998-09-21,2023-04-14,91,331.44,APO,0.0465
20162120,"162120 (1998 SH36)",162120,"JPL 65",,0.5709,1.088,0.467,2.13,217.82,279.53,1.71,2460693.13,"Otto Matic",1998-09-26,2024-10-08,259,278.85,APO,0.012
20162162,"162162 (1999 DB7)",162162,"JPL 73",,0.1949,1.206,0.971,10.84,157.59,110.33,1.44,2460452.28,"Otto Matic",1999-02-27,2023-12-05,295,29.93,APO,0.00348
20162173,"162173 Ryugu (1999 JU3)",162173,"JPL 256",0.896,0.1911,1.191,0.963,5.87,251.29,327.33,1.42,2460643.59,"Otto Matic",1986-04-14,2024-10-01,5019,211.61,APO,0.00117
20162183,"162183 (1999 NB5)",162183,"JPL 52",,0.5351,2.072,0.963,1.43,235.31,143.03,3.18,2460167.54,"Otto Matic",1999-07-13,2018-01-19,185,123.19,APO,0.013
20162210,"162210 (1999 SM5)",162210,"JPL 84",,0.6950,2.306,0.703,5.19,327.62,82.39,3.91,2460307.76,"Otto Matic",1999-09-28,2020-12-11,404,319.31,APO,0.0496
20162361,"162361 (2000 AF6)",162361,"JPL 129",,0.4110,0.8758,0.516,2.71,109.86,188.82,1.24,2460742.85,"Otto Matic",1991-01-15,2023-02-11,505,201.27,ATE,0.0227
20162416,"162416 (2000 EH26)",162416,"JPL 44",,0.4780,1.855,0.968,0.40,215.25,243.90,2.74,2460898.06,"Otto Matic",2000-03-04,2005-06-30,59,19.22,APO,0.000924
20162421,"162421 (2000 ET70)",162421,"JPL 171",,0.1238,0.9467,0.829,22.32,331.12,31.49,1.06,2460571.07,"Otto Matic",1977-02-18,2024-07-07,724,46.07,ATE,0.0317
20162422,"162422 (2000 EV70)",162422,"JPL 75",,0.5311,1.207,0.566,1.40,108.93,240.88,1.85,2460760.80,"Otto Matic",2000-03-08,2024-05-01,249,314.50,APO,0.012
20162474,"162474 (2000 LB16)",162474,"JPL 76",,0.3574,1.241,0.797,50.71,80.85,163.39,1.68,2460371.42,"Otto Matic",2000-06-07,2022-12-14,269,285.25,APO,0.00479
20162510,"162510 (2000 QW69)",162510,"JPL 177",1.406,0.3023,1.376,0.960,38.14,344.33,91.40,1.79,2460450.80,"Otto Matic",2000-08-28,2024-04-28,1754,220.73,APO,0.0262
20162567,"162567 (2000 RW37)",162567,"JPL 64",0.335,0.2501,1.247,0.935,13.75,333.29,12.21,1.56,2460583.24,"Otto Matic",2000-09-03,2022-05-16,248,133.29,APO,0.00905
20162687,"162687 (2000 UH1)",162687,"JPL 78",,0.5436,1.875,0.856,14.77,76.13,92.72,2.89,2460358.89,"Otto Matic",2000-10-18,2024-06-04,431,40.97,APO,0.0339
20162695,"162695 (2000 UL11)",162695,"JPL 50",,0.6354,2.122,0.774,2.19,333.18,246.49,3.47,2460956.61,"Otto Matic",2000-10-25,2004-05-12,154,152.12,APO,0.0229
20162783,"162783 (2000 YJ11)",162783,"JPL 40",,0.2323,1.314,1.008,7.26,64.92,327.02,1.62,2460650.89,"Otto Matic",2000-12-19,2022-03-27,136,339.16,APO,0.0302
20162825,"162825 (2001 BO61)",162825,"JPL 110",,0.7444,1.773,0.453,9.07,159.52,338.79,3.09,2460651.32,"Otto Matic",2000-12-03,2022-11-21,454,79.16,APO,0.0163
20162882,"162882 (2001 FD58)",162882,"JPL 116",,0.5752,1.092,0.464,6.50,341.15,348.46,1.72,2460613.87,"Otto Matic",2000-04-12,2024-05-04,444,46.02,APO,0.0328
20162922,"162922 (2001 OY13)",162922,"JPL 41",,0.3820,1.319,0.815,10.30,284.18,174.17,1.82,2460332.95,"Otto Matic",2001-07-19,2007-08-12,164,291.31,APO,0.0131
20162979,"162979 (2001 RA12)",162979,"JPL 34",,0.5441,2.037,0.929,17.09,311.58,359.93,3.14,2460600.70,"Otto Matic",2001-02-17,2024-03-05,167,326.05,APO,0.0207
20162998,"162998 (2001 SK162)",162998,"JPL 162",0.875,0.4743,1.926,1.013,1.68,285.29,181.51,2.84,2461084.55,"Otto Matic",1993-10-09,2022-07-25,1194,186.45,APO,0.0301
20163014,"163014 (2001 UA5)",163014,"JPL 151",,0.4456,1.787,0.991,9.94,58.62,207.87,2.58,2460969.33,"Otto Matic",1990-03-19,2021-05-12,1183,27.68,APO,0.032
20163026,"163026 (2001 XR30)",163026,"JPL 18",,0.3652,1.297,0.823,11.86,247.85,106.07,1.77,2460441.51,"Otto Matic",2001-12-11,2023-10-17,72,294.50,APO,0.0209
20163051,"163051 (2001 YJ4)",163051,"JPL 236",,0.5676,2.274,0.983,9.29,247.77,208.69,3.57,2461127.02,"Otto Matic",1978-02-05,2024-10-05,1119,322.44,APO,0.0316
20163067,"163067 (2002 AP3)",163067,"JPL 13",,0.5862,2.046,0.847,7.61,87.30,254.83,3.25,2460912.79,"Otto Matic",2002-01-06,2005-01-18,65,117.82,APO,0.0126
20163132,"163132 (2002 CU11)",163132,"JPL 125",0.460,0.2952,1.22,0.860,48.78,157.74,229.17,1.58,2460779.31,"Otto Matic",2002-02-07,2022-06-05,513,110.53,APO,0.000225
20163243,"163243 (2002 FB3)",163243,"JPL 295",1.682,0.6016,0.7616,0.303,20.28,203.56,109.40,1.22,2460526.73,"Otto Matic",2002-03-18,2024-06-14,1532,148.34,ATE,0.00238
20163249,"163249 (2002 GT)",163249,"JPL 203",,0.3347,1.344,0.894,6.97,201.73,59.89,1.79,2460505.77,"Otto Matic",2002-04-03,2024-10-04,1580,135.14,APO,0.0157
20163348,"163348 (2002 NN4)",163348,"JPL 161",0.735,0.4345,0.8758,0.495,5.42,259.43,207.78,1.26,2460727.08,"Otto Matic",2002-07-02,2021-08-27,670,222.21,ATE,0.00719
20163364,"163364 (2002 OD20)",163364,"JPL 176",,0.3689,1.365,0.862,4.19,259.85,84.09,1.87,2460464.41,"Otto Matic",2001-11-22,2023-11-16,655,275.35,APO,0.0266
20163373,"163373 (2002 PZ39)",163373,"JPL 142",,0.5465,1.469,0.666,1.67,328.77,196.11,2.27,2460896.65,"Otto Matic",1995-10-23,2022-10-31,1157,260.13,APO,0.00261
20163683,"163683 (2002 YP2)",163683,"JPL 67",,0.6881,1.577,0.492,20.63,52.46,31.53,2.66,2460537.13,"Otto Matic",2002-12-28,2024-10-03,237,281.41,APO,0.0192
20163697,"163697 (2003 EF54)",163697,"JPL 64",,0.4728,1.609,0.848,2.95,268.45,176.37,2.37,2460235.12,"Otto Matic",2003-03-12,2015-01-16,224,353.79,APO,0.0419
20163818,"163818 (2003 RX7)",163818,"JPL 187",0.386,0.3545,1.229,0.794,10.39,241.01,68.68,1.67,2460505.51,"Otto Matic",2003-09-06,2023-07-09,957,245.91,APO,0.0264
20163899,"163899 (2003 SD220)",163899,"JPL 175",0.791,0.2100,0.8276,0.654,8.54,273.71,128.47,1.00,2460502.36,"Otto Matic",2000-01-06,2024-10-12,1490,326.99,ATE,0.0173
20164121,"164121 (2003 YT1)",164121,"JPL 265",1.717,0.2920,1.11,0.786,44.06,38.31,235.13,1.43,2460748.64,"Otto Matic",1982-11-19,2024-10-09,2050,91.00,APO,0.0046
20164202,"164202 (2004 EW)",164202,"JPL 75",,0.2791,0.988,0.712,4.67,342.90,79.77,1.26,2460521.02,"Otto Matic",2004-03-13,2017-05-27,427,56.21,ATE,0.024
20164207,"164207 (2004 GU9)",164207,"JPL 98",0.163,0.1359,1.001,0.865,13.65,38.41,63.63,1.14,2460535.82,"Otto Matic",2001-05-11,2024-04-30,326,279.48,APO,0.00017
20164211,"164211 (2004 JA27)",164211,"JPL 111",,0.4233,1.666,0.961,2.26,67.76,128.89,2.37,2460319.24,"Otto Matic",2004-05-15,2021-04-10,479,270.22,APO,0.0328
20164216,"164216 (2004 OT11)",164216,"JPL 97",,0.5651,2.153,0.937,19.99,294.89,167.15,3.37,2460064.64,"Otto Matic",2004-07-27,2023-12-13,444,326.60,APO,0.0164
20164400,"164400 (2005 GN59)",164400,"JPL 207",,0.4679,1.657,0.882,6.63,218.96,169.72,2.43,2460233.33,"Otto Matic",1978-08-24,2024-06-06,1036,203.05,APO,0.0497
20168318,"168318 (1989 DA)",168318,"JPL 107",0.9,0.5417,2.162,0.991,6.49,349.07,83.00,3.33,2460332.72,"Otto Matic",1989-02-27,2024-06-07,544,139.82,APO,0.0463
20170086,"170086 (2002 XR14)",170086,"JPL 113",,0.6260,1.905,0.712,2.13,75.48,69.28,3.10,2460415.72,"Otto Matic",2002-12-05,2024-09-25,475,120.49,APO,0.0114
20170903,"170903 (2004 WS2)",170903,"JPL 132",,0.6031,1.336,0.530,8.27,87.67,267.96,2.14,2460744.76,"Otto Matic",2002-10-28,2024-10-07,1145,115.46,APO,0.0303
20171576,"171576 (1999 VP11)",171576,"JPL 107",,0.5836,1.086,0.452,17.28,208.08,111.24,1.72,2460472.79,"Otto Matic",1999-11-07,2024-02-22,483,61.74,APO,0.00221
20171839,"171839 (2001 JM1)",171839,"JPL 93",,0.3108,1.46,1.007,17.08,226.64,118.84,1.91,2460387.68,"Otto Matic",2001-05-12,2024-07-01,589,321.98,APO,0.0478
20172678,"172678 (2003 YM137)",172678,"JPL 53",,0.7028,2.559,0.761,2.82,73.98,326.04,4.36,2460741.59,"Otto Matic",2003-12-21,2007-12-16,336,131.02,APO,0.0154
20173561,"173561 (2000 YV137)",173561,"JPL 156",,0.3109,1.448,0.998,28.00,137.22,330.30,1.90,2460653.01,"Otto Matic",2000-12-01,2024-06-06,750,211.38,APO,0.0199
20175706,"175706 (1996 FG3)",175706,"JPL 159",1.196,0.3501,1.055,0.686,1.97,299.50,32.72,1.42,2460564.53,"Otto Matic",1985-12-17,2024-06-28,2685,24.06,APO,0.0281
20175729,"175729 (1998 BB10)",175729,"JPL 56",,0.4246,1.271,0.732,11.54,124.27,280.61,1.81,2460715.98,"Otto Matic",1998-01-25,2024-03-31,244,259.25,APO,0.0226
20177049,"177049 (2003 EE16)",177049,"JPL 92",,0.6143,1.418,0.547,0.65,127.23,5.13,2.29,2460591.71,"Otto Matic",2002-05-17,2024-07-13,320,259.50,APO,9.66e-05
20177614,"177614 (2004 HK33)",177614,"JPL 186",,0.5204,1.889,0.906,5.44,104.70,294.36,2.87,2460773.42,"Otto Matic",2001-03-12,2024-05-27,925,221.54,APO,0.00818
20179806,"179806 (2002 TD66)",179806,"JPL 63",,0.5347,1.858,0.864,4.93,335.53,220.46,2.85,2460958.98,"Otto Matic",2002-10-05,2008-04-13,302,125.88,APO,0.00591
20180186,"180186 (2003 QZ30)",180186,"JPL 147",,0.6315,2.422,0.892,8.57,178.04,198.78,3.95,2461216.99,"Otto Matic",1984-08-23,2023-04-23,745,243.10,APO,0.0455
20184266,"184266 (2004 VW14)",184266,"JPL 76",,0.5977,2.121,0.853,3.83,100.83,140.17,3.39,2460161.14,"Otto Matic",2004-11-03,2011-05-23,584,42.78,APO,0.00756
20185851,"185851 (2000 DP107)",185851,"JPL 348",0.863,0.3765,1.365,0.851,8.67,358.65,62.22,1.88,2460499.81,"Otto Matic",2000-02-29,2024-10-12,1934,289.77,APO,0.0149
20186844,"186844 (2004 GA1)",186844,"JPL 156",,0.6726,2.43,0.795,7.77,261.48,114.88,4.06,2460159.01,"Otto Matic",2000-04-12,2023-12-28,693,54.63,APO,0.0174
20187040,"187040 (2005 JS108)",187040,"JPL 157",0.430,0.3222,1.355,0.919,6.04,110.84,28.42,1.79,2460555.00,"Otto Matic",2002-12-07,2024-10-05,651,244.00,APO,0.0196
20189040,"189040 (2000 MU1)",189040,"JPL 101",,0.3825,1.372,0.848,13.09,130.03,84.71,1.90,2460462.31,"Otto Matic",2000-06-24,2023-11-12,331,63.78,APO,0.0112
20189865,"189865 (2003 NC)",189865,"JPL 59",,0.8055,1.406,0.273,21.57,288.39,315.33,2.54,2460676.03,"Otto Matic",2003-07-01,2024-09-30,187,224.33,APO,0.038
20192559,"192559 (1998 VO)",192559,"JPL 69",,0.2266,1.075,0.831,10.06,228.12,182.11,1.32,2460801.62,"Otto Matic",1998-11-10,2018-11-13,575,75.97,APO,0.0253
20192563,"192563 (1998 WZ6)",192563,"JPL 186",,0.4078,1.452,0.860,24.76,68.68,226.25,2.04,2460837.95,"Otto Matic",1998-11-23,2024-10-12,2361,110.75,APO,0.036
20194006,"194006 (2001 SG10)",194006,"JPL 84",,0.4243,1.449,0.834,4.26,184.93,114.85,2.06,2460397.26,"Otto Matic",2001-02-20,2022-12-01,434,101.62,APO,0.0173
20194268,"194268 (2001 UY4)",194268,"JPL 114",1.244,0.7875,1.453,0.309,5.44,160.69,74.45,2.60,2460468.23,"Otto Matic",2001-10-16,2024-01-13,694,107.81,APO,0.0259
20196068,"196068 (2002 TW55)",196068,"JPL 39",,0.6645,2.118,0.711,59.35,33.54,85.27,3.53,2460333.87,"Otto Matic",2002-10-02,2011-12-09,145,251.12,APO,0.026
20196625,"196625 (2003 RM10)",196625,"JPL 45",,0.5917,1.848,0.754,13.72,341.17,166.92,2.94,2460175.09,"Otto Matic",1998-09-19,2023-11-06,408,287.44,APO,0.00504
20197588,"197588 (2004 HE12)",197588,"JPL 58",,0.4659,1.845,0.986,42.71,338.03,69.47,2.71,2460423.81,"Otto Matic",2000-09-21,2024-05-15,184,162.22,APO,0.0122
20199003,"199003 (2005 WJ56)",199003,"JPL 233",,0.1521,0.959,0.813,21.62,288.02,207.09,1.10,2460746.20,"Otto Matic",2005-11-29,2024-09-18,1295,297.65,ATE,0.0236
20199145,"199145 (2005 YY128)",199145,"JPL 120",,0.7323,1.649,0.441,3.77,299.96,261.48,2.86,2460812.15,"Otto Matic",2005-11-30,2023-12-04,526,315.17,APO,0.0297
20199801,"199801 (2007 AE12)",199801,"JPL 55",,0.5694,1.684,0.725,2.29,245.44,128.40,2.64,2460315.72,"Otto Matic",1995-05-29,2021-04-14,209,86.98,APO,0.00656
20200840,"200840 (2001 XN254)",200840,"JPL 71",,0.5609,2.32,1.019,1.94,264.07,132.26,3.62,2460126.16,"Otto Matic",1994-12-08,2022-12-26,722,278.72,AMO,0.041
20202683,"202683 (2006 US216)",202683,"JPL 30",,0.5624,0.6371,0.279,3.44,193.26,257.35,1.00,2460653.46,"Otto Matic",2005-11-06,2017-01-07,89,56.42,ATE,0.044
20206378,"206378 (2003 RB)",206378,"JPL 183",0.376,0.4389,1.788,1.003,6.72,317.13,287.00,2.57,2460777.62,"Otto Matic",2002-02-13,2022-06-06,1420,44.07,APO,0.0449
20206910,"206910 (2004 NL8)",206910,"JPL 111",,0.7156,2.574,0.732,5.02,150.90,302.11,4.42,2460843.05,"Otto Matic",2001-05-24,2017-05-17,513,278.14,APO,0.0213
20207398,"207398 (2006 AS2)",207398,"JPL 107",,0.6419,2.091,0.749,2.60,125.63,49.89,3.43,2460447.48,Giorgini,2003-08-23,2024-07-15,528,80.07,APO,0.00992
20207945,"207945 (1991 JW)",207945,"JPL 75",0.423,0.1186,1.039,0.916,8.71,53.85,92.10,1.16,2460501.52,"Otto Matic",1955-04-16,2011-05-23,353,301.95,APO,0.0201
20208023,"208023 (1999 AQ10)",208023,"JPL 122",,0.2354,0.9338,0.714,6.50,326.97,33.11,1.15,2460570.18,"Otto Matic",1999-01-14,2018-02-26,446,300.57,ATE,0.00653
20208115,"208115 (2000 CT101)",208115,"JPL 33",,0.3547,1.299,0.838,23.30,135.55,278.65,1.76,2460722.74,"Otto Matic",2000-02-04,2024-06-06,77,292.43,APO,0.0129
20212546,"212546 (2006 SV19)",212546,"JPL 109",,0.5152,2.133,1.034,7.35,116.20,317.31,3.23,2460735.39,"Otto Matic",2003-12-21,2024-03-01,369,182.55,AMO,0.0188
20214869,"214869 (2007 PA8)",214869,"JPL 179",,0.6530,2.849,0.989,2.00,141.30,175.77,4.71,2459742.82,"Otto Matic",2002-07-13,2023-05-10,775,293.85,APO,0.0304
20215588,"215588 (2003 HF2)",215588,"JPL 119",0.488,0.6755,1.114,0.361,3.06,189.88,195.33,1.87,2460796.93,"Otto Matic",2002-05-10,2024-05-03,437,231.04,APO,0.00324
20216115,"216115 (2006 SU19)",216115,"JPL 99",,0.5864,1.527,0.632,2.09,152.22,92.91,2.42,2460422.62,"Otto Matic",2006-09-18,2024-07-29,435,10.63,APO,0.0351
20216258,"216258 (2006 WH1)",216258,"JPL 82",,0.4849,1.671,0.861,2.63,240.31,65.58,2.48,2460456.71,"Otto Matic",2006-10-23,2022-05-26,948,263.68,APO,0.0237
20216523,"216523 (2001 HY7)",216523,"JPL 88",,0.4122,0.9136,0.537,5.21,205.05,90.01,1.29,2460520.75,"Otto Matic",2001-04-15,2023-06-30,350,211.33,ATE,0.0355
20216985,"216985 (2000 QK130)",216985,"JPL 63",,0.2620,1.181,0.871,4.72,173.81,358.14,1.49,2460602.93,"Otto Matic",2000-08-09,2022-11-30,251,66.40,APO,0.000899
